campaign_id,campaign_name,ad_id,ad_platform,ad_format,target_url,impressions,clicks,cost,date,utm_source,utm_medium,utm_campaign,target_category
C001,春夏新作_ドレス,ADC001_facebook_20251119,facebook,image,https://ec.example.com/products?campaign=C001,8938,277,16894.29,2025-11-19,facebook,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_youtube_20251119,youtube,carousel,https://ec.example.com/products?campaign=C001,5342,120,14299.17,2025-11-19,youtube,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_twitter_20251119,twitter,carousel,https://ec.example.com/products?campaign=C001,15234,289,17048.04,2025-11-19,twitter,cpc,春夏新作-ドレス,ドレス
C002,セール_アウター,ADC002_youtube_20251119,youtube,story,https://ec.example.com/products?campaign=C002,13901,294,33824.61,2025-11-19,youtube,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_twitter_20251119,twitter,banner,https://ec.example.com/products?campaign=C002,40608,787,35015.73,2025-11-19,twitter,cpc,セール-アウター,アウター
C003,トレンド_トップス,ADC003_instagram_20251119,instagram,video,https://ec.example.com/products?campaign=C003,3569,122,10122.44,2025-11-19,instagram,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_facebook_20251119,facebook,carousel,https://ec.example.com/products?campaign=C003,5809,186,10178.83,2025-11-19,facebook,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_twitter_20251119,twitter,carousel,https://ec.example.com/products?campaign=C003,9343,195,10297.04,2025-11-19,twitter,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_youtube_20251119,youtube,story,https://ec.example.com/products?campaign=C003,7099,125,10415.47,2025-11-19,youtube,cpc,トレンド-トップス,トップス
C004,新作_バッグ,ADC004_twitter_20251119,twitter,story,https://ec.example.com/products?campaign=C004,26938,551,26820.11,2025-11-19,twitter,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_youtube_20251119,youtube,banner,https://ec.example.com/products?campaign=C004,13191,254,28828.11,2025-11-19,youtube,cpc,新作-バッグ,バッグ
C005,シューズ_プロモ,ADC005_youtube_20251119,youtube,banner,https://ec.example.com/products?campaign=C005,4268,97,10839.17,2025-11-19,youtube,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_google_20251119,google,banner,https://ec.example.com/products?campaign=C005,4427,102,9683.41,2025-11-19,google,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_instagram_20251119,instagram,story,https://ec.example.com/products?campaign=C005,3979,136,11057.63,2025-11-19,instagram,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_twitter_20251119,twitter,story,https://ec.example.com/products?campaign=C005,11928,274,11178.46,2025-11-19,twitter,cpc,シューズ-プロモ,シューズ
C006,アクセサリー_キャンペーン,ADC006_twitter_20251119,twitter,video,https://ec.example.com/products?campaign=C006,8056,192,10091.97,2025-11-19,twitter,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_google_20251119,google,carousel,https://ec.example.com/products?campaign=C006,4888,127,8862.52,2025-11-19,google,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_facebook_20251119,facebook,story,https://ec.example.com/products?campaign=C006,3790,124,8691.91,2025-11-19,facebook,cpc,アクセサリー-キャンペーン,アクセサリー
C007,デニム_特集,ADC007_instagram_20251119,instagram,video,https://ec.example.com/products?campaign=C007,5605,193,12151.98,2025-11-19,instagram,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_twitter_20251119,twitter,image,https://ec.example.com/products?campaign=C007,8606,197,10634.47,2025-11-19,twitter,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_facebook_20251119,facebook,carousel,https://ec.example.com/products?campaign=C007,5127,156,10373.91,2025-11-19,facebook,cpc,デニム-特集,ボトムス
C008,ワンピース_セール,ADC008_youtube_20251119,youtube,image,https://ec.example.com/products?campaign=C008,7246,150,14002.58,2025-11-19,youtube,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_instagram_20251119,instagram,video,https://ec.example.com/products?campaign=C008,4930,194,12525.3,2025-11-19,instagram,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_google_20251119,google,image,https://ec.example.com/products?campaign=C008,7246,181,13396.46,2025-11-19,google,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_facebook_20251119,facebook,story,https://ec.example.com/products?campaign=C008,7830,260,13741.41,2025-11-19,facebook,cpc,ワンピース-セール,ドレス
